,t,heatflux
0,0.0,690.0104657383636
1,5.219842377254813e-05,691.8424190608785
2,0.00010439684754508238,156901.49529237766
3,0.0001565952713176305,2399832.655493888
4,0.00020879369509017864,5980484.800266491
5,0.0002609921188627268,6891840.3109506145
6,0.000313190542635261,6199046.150730291
7,0.00036538896640780916,5211443.811392989
8,0.0004175873901803573,4205990.738714175
9,0.00046978581395289154,3870041.019118471
10,0.0005219842377254397,4036115.2010120843
11,0.0005741826614979878,3516435.707191903
12,0.000626381085270522,3290872.0252862964
13,0.0006785795090430702,3058146.1214957945
14,0.0007307779328156183,2951496.2977038966
15,0.0007829763565881526,2751402.5350967925
16,0.0008351747803607007,2702583.4267051555
17,0.0008873732041332488,2688816.924088478
18,0.000939571627905797,2260128.371398041
19,0.0009917700516783312,2076297.417438901
20,0.0010439684754508793,1946360.2375602275
21,0.0010961668992234275,1915497.0788468523
22,0.0011483653229959617,1986580.5518668145
23,0.0012005637467685099,1893260.0482531413
24,0.001252762170541058,1719125.6080664042
25,0.0013049605943135922,1538565.6335773328
26,0.0013571590180861404,1507409.0198099082
27,0.0014093574418586885,1505243.2670902433
28,0.0014615558656312366,1486678.6121651502
29,0.0015137542894037709,1426151.2299085986
30,0.001565952713176319,1313476.81844322
31,0.0016181511369488671,1214553.1771550449
32,0.0016703495607214014,1165704.2181893531
33,0.0017225479844939495,1165032.9536950113
34,0.0017747464082664977,1146552.626678153
35,0.001826944832039032,1088161.1891958732
36,0.00187914325581158,1015065.2519441685
37,0.0019313416795841282,952347.5821095686
38,0.0019835401033566763,915539.5963660553
39,0.0020357385271292106,898730.7471018983
40,0.0020879369509017587,881217.984651044
41,0.002140135374674307,844193.2677277531
42,0.002192333798446841,792421.2789968764
43,0.002244532222219389,747896.4349719798
44,0.0022967306459919373,720775.001473858
45,0.0023489290697644716,704834.9805154353
46,0.0024011274935370197,688889.0807469441
47,0.002453325917309568,665109.394943689
48,0.002505524341082102,634115.086383367
49,0.0025577227648546502,603899.4123972263
50,0.0026099211886271984,582841.6410728702
51,0.0026621196123997465,570634.8214194626
52,0.0027143180361722807,560027.5665584989
53,0.002766516459944829,545165.73640652
54,0.002818714883717377,526143.78905713
55,0.0028709133074899112,506869.13164049387
56,0.0029231117312624594,491392.45983897895
57,0.0029753101550350075,480791.32206401974
58,0.0030275085788075418,472110.0721229026
59,0.00307970700258009,462008.2148344321
60,0.003131905426352638,449327.41199022625
61,0.003184103850125186,435444.62257342413
62,0.0032363022738977204,423110.6200262699
63,0.0032885006976702685,413382.61064357497
64,0.0033406991214428167,405422.5643578842
65,0.003392897545215351,397815.8798097335
66,0.003445095968987899,388474.7241033474
67,0.003497294392760447,377617.0548823951
68,0.0035494928165329814,366814.2796723228
69,0.0036016912403055296,357263.7213768037
70,0.0036538896640780777,348972.9967058217
71,0.003706088087850626,340918.4675534209
72,0.00375828651162316,332310.432737018
73,0.003810484935395708,322975.9772575684
74,0.0038626833591682563,313283.18819968496
75,0.003914881782940791,303967.2440365162
76,0.003967080206713339,295429.88341108616
77,0.004019278630485887,287437.3342336081
78,0.004071477054258421,279443.0176692689
79,0.004123675478030969,271163.18842658587
80,0.004175873901803517,262733.59528226126
81,0.004228072325576052,254483.9770173533
82,0.0042802707493486,246684.47533028107
83,0.004332469173121148,239380.9664295977
84,0.004384667596893696,232399.33603750914
85,0.00443686602066623,225478.8249736866
86,0.004489064444438778,218564.64590782486
87,0.0045412628682113265,211777.4901130665
88,0.004593461291983861,205298.02888097987
89,0.004645659715756409,199181.38676287048
90,0.004697858139528957,193383.00593782868
91,0.004750056563301491,187790.87831788603
92,0.004802254987074039,182318.02411410213
93,0.0048544534108465875,176954.2736567948
94,0.004906651834619136,171773.88049105182
95,0.00495885025839167,166835.74885447882
96,0.005011048682164218,162158.82948882412
97,0.005063247105936766,157676.6332709547
98,0.0051154455297093004,153332.00831992645
99,0.005167643953481849,149094.98262627982
100,0.005219842377254397,144983.55346122384
101,0.005272040801026931,141020.9340652926
102,0.005324239224799479,137231.76140096877
103,0.005376437648572027,133597.6048490228
104,0.005428636072344575,130093.70997343305
105,0.00548083449611711,126691.14865240641
106,0.005533032919889658,123383.06592011172
107,0.005585231343662206,120172.97213400528
108,0.00563742976743474,117087.34204496257
109,0.005689628191207288,114112.68337638862
110,0.005741826614979836,111236.38733829185
111,0.005794025038752371,108452.10070488509
112,0.005846223462524919,105737.15054680221
113,0.005898421886297467,103087.20972181298
114,0.005950620310070001,100514.35670967773
115,0.006002818733842549,98017.4018111853
116,0.006055017157615097,95599.40272294916
117,0.0061072155813876455,93253.48617412616
118,0.00615941400516018,90973.27112527564
119,0.006211612428932728,88760.00707329251
120,0.006263810852705276,86612.6338286195
121,0.00631600927647781,84521.68031760212
122,0.006368207700250358,82487.42742697801
123,0.0064204061240229066,80511.18518167268
