x_par (m),x_pol (m),B_total (T)
85.572,3.9429,9.57723771
86.148,4.066,9.6524441
86.735,4.1862,9.77698617
87.343,4.3031,9.94750147
87.989,4.4164,10.15964166
88.698,4.5262,10.40877734
89.501,4.6321,10.69452426
90.431,4.7333,11.02056782
91.527,4.8295,11.38657308
92.85,4.9205,11.78669909
94.499,5.0061,12.21294752
96.652,5.0863,12.65604254
99.607,5.1606,13.10774416
103.95,5.2288,13.55906289
110.9,5.2891,13.98943378
118.83,5.3238,14.29500098
123.23,5.338,14.41572609
128.28,5.3583,14.42423652
132.61,5.3814,14.39010222
136.06,5.4046,14.32851983
138.86,5.4271,14.25545964
141.23,5.4487,14.17787355
143.27,5.4695,14.09856121
145.09,5.4894,14.01891053
146.72,5.5085,13.93957937
148.22,5.5269,13.86101031
149.6,5.5444,13.78350257
150.89,5.5612,13.70730198
152.1,5.5773,13.63255619
153.24,5.5927,13.55938811
154.33,5.6075,13.48792189
155.37,5.6216,13.41824104
156.37,5.635,13.35042151
157.33,5.6479,13.284544
158.26,5.6602,13.22070689
159.17,5.6719,13.15894327
160.04,5.683,13.09926625
160.89,5.6935,13.04173938
161.73,5.7035,12.98640577
162.54,5.713,12.93331652
163.33,5.722,12.88241111
164.11,5.7305,12.83373677
164.87,5.7385,12.78726199
165.62,5.746,12.74295103
166.36,5.7531,12.70079233
167.08,5.7598,12.66076202
167.79,5.766,12.62279236
168.48,5.7718,12.58686546
169.16,5.7773,12.55292007
169.82,5.7824,12.52091597
170.47,5.7871,12.49075327
171.11,5.7915,12.46244074
171.72,5.7955,12.4358436
172.32,5.7993,12.41094972
172.89,5.8027,12.38774055
173.44,5.8059,12.36612965
173.96,5.8088,12.34606143
174.45,5.8115,12.32748171
174.92,5.814,12.3103737
175.35,5.8162,12.29468766
175.76,5.8183,12.2803556
176.14,5.8202,12.26729039
176.5,5.8219,12.25539363
176.82,5.8234,12.24457845
